L_um,L_actual_um,nIntn,nNode,distalNode,distance_mm,meanLatency_ms,sigma_t_ms,sigma_per_mm,nValid,failed_rate
30,30,136,137,110,3.4335,0.197941,0.0648211,0.018879,50,0
40,40,102,103,83,3.403,0.215019,0.0763406,0.0224333,50,0
50,50,82,83,67,3.399,0.217065,0.0790508,0.0232571,50,0
60,60,68,69,55,3.321,0.247315,0.0818686,0.0246518,50,0
70,70,58,59,47,3.289,0.276751,0.0819236,0.0249083,50,0
80,80,51,52,42,3.3415,0.278599,0.104422,0.0312501,50,0
90,90,45,46,37,3.294,0.295836,0.0974464,0.029583,50,0
100,100,41,42,34,3.3495,0.315926,0.121038,0.0361362,50,0
110,110,37,38,31,3.345,0.312998,0.128643,0.0384583,50,0
120,120,34,35,28,3.2805,0.360156,0.106565,0.0324844,50,0
130,130,31,32,26,3.2875,0.371243,0.144322,0.0439003,50,0
140,140,29,30,24,3.2545,0.373454,0.145611,0.0447414,50,0
150,150,27,28,23,3.333,0.348253,0.127666,0.0383037,50,0
160,160,26,27,22,3.3915,0.353604,0.126281,0.0372345,50,0
